1,Meatloaf,Dinner,Beef,https://www.allrecipes.com/recipe/16354/easy-meatloaf/
3,Sphaggeti and Meatballs,Dinner,"Pasta, Beef",https://www.allrecipes.com/recipe/277041/homemade-spaghetti-and-meatballs/?internalSource=hub%20recipe&referringContentType=Search
4,Porkchops(7 oz),Dinner,Pork,https://www.allrecipes.com/recipe/223405/best-grilled-pork-chops/?internalSource=hub%20recipe&referringContentType=Search
5,Cheeseburger,"Lunch, Dinner",Beef,https://www.allrecipes.com/recipe/277748/cheeseburger-sliders/?internalSource=hub%20recipe&referringContentType=Searchh
6,Cereal,Breakfast,Cereal,https://www.allrecipes.com/recipe/44162/homemade-cereal/?internalSource=hub%20recipe&referringContentType=Search
7,Eggs,Breakfast,Egg,https://www.allrecipes.com/recipe/57459/oven-scrambled-eggs/?internalSource=hub%20recipe&referringContentType=Search
8,Egg sandwich,"Breakfast, Lunch","Egg, Sandwich",https://www.allrecipes.com/recipe/139551/egg-sandwich/?internalSource=hub%20recipe&referringContentType=Search&clickId=cardslot%202
9,"Bacon, Egg, Cheese Sandwich","Breakfast, Lunch","Egg, Sandwich",https://www.allrecipes.com/recipe/229223/grandwich-breakfast-sandwiches/?internalSource=hub%20recipe&referringContentType=Search
10,Pankakes,Breakfast,Pizza,https://www.allrecipes.com/recipe/76448/truck-stop-buttermilk-pancakes/?internalSource=recipe%20hub&referringContentType=Search&clickId=cardslot%2021
11,Plain Pizza,"Lunch, Dinner",Pizza,https://www.allrecipes.com/recipe/20171/quick-and-easy-pizza-crust/?internalSource=hub%20recipe&referringContentType=Search
14,French Toast,Breakfast,Bread,https://www.allrecipes.com/recipe/16895/fluffy-french-toast/?internalSource=hub%20recipe&referringContentType=Search
15,Hoagie/ Sub Sandwich,Lunch ,Sandwich,https://www.allrecipes.com/recipe/84259/italian-subs-restaurant-style/?internalSource=hub%20recipe&referringContentType=Search
16,Cheesesteak,Lunch,Sandwich,https://www.allrecipes.com/recipe/51856/philly-cheesesteak-sandwich-with-garlic-mayo/?internalSource=hub%20recipe&referringContentType=Search
18,Cheese Quesadilla,Lunch,Sandwich,https://www.allrecipes.com/recipe/14847/quesadillas-i/
19,Meat and Cheese Quesadilla,Lunch,Sandwich,https://www.allrecipes.com/recipe/234487/fajita-quesadillas/?internalSource=hub%20recipe&referringContentType=Search
20,Chicken Breast (4 oz),Dinner,"Chicken, Baked",https://www.allrecipes.com/recipe/231449/baked-split-chicken-breast/?internalSource=hub%20recipe&referringContentType=Search
22,Chicken Thighs (3 oz),"Lunch, Dinner",Chicken,https://www.allrecipes.com/recipe/216943/asian-glazed-chicken-thighs/?internalSource=hub%20recipe&referringContentType=Search
23,Pulled Pork,Lunch,Pork,https://www.allrecipes.com/recipe/141678/slow-cooker-pulled-pork/?internalSource=hub%20recipe&referringContentType=Search
24,Beef Stew,Dinner,"Beef, soup",https://www.allrecipes.com/recipe/23152/beef-stew-v/?internalSource=hub%20recipe&referringContentType=Search
25,Vegtable Soup,"Lunch, Dinner",soup,https://www.allrecipes.com/recipe/13028/italian-vegetable-soup/?internalSource=hub%20recipe&referringContentType=Search
26,Grilled Cheese,Lunch,Sandwich,https://www.allrecipes.com/recipe/23891/grilled-cheese-sandwich/?internalSource=hub%20recipe&referringContentType=Search
27,Tomato Soup,"Lunch, Dinner",Soup,https://www.allrecipes.com/recipe/19576/tomato-soup/?internalSource=hub%20recipe&referringContentType=Search
28,Ice Cream,Desert,Other,https://www.allrecipes.com/recipe/244367/ice-cream/?internalSource=hub%20recipe&referringContentType=Search
30,Potato Chips,Snack,Fried,https://www.allrecipes.com/recipe/66646/potato-chips/?internalSource=hub%20recipe&referringContentType=Search
31,Salmon (4 oz),Dinner,Seafood,https://www.allrecipes.com/recipe/109297/cedar-planked-salmon/?internalSource=hub%20recipe&referringContentType=Search
32,Crab(6 oz),Dinner,Seafood,https://www.allrecipes.com/recipe/155375/crab-legs-with-garlic-butter-sauce/?internalSource=hub%20recipe&referringContentType=Search
33,Chicken Noodle Soup,"Lunch, Dinner","Soup, Chicken",https://www.allrecipes.com/recipe/8562/chicken-noodle-soup/?internalSource=hub%20recipe&referringContentType=Search
34,Burrito,"Lunch, Dinner",Sandwich,https://www.allrecipes.com/recipe/232325/yummy-chicken-burritos/?internalSource=hub%20recipe&referringContentType=Search
35,Fajitas,"Lunch, Dinner",Other,https://www.allrecipes.com/recipe/258572/sheet-pan-shrimp-fajitas/?internalSource=hub%20recipe&referringContentType=Search
36,Calzone,"Lunch, Dinner",Other,https://www.allrecipes.com/recipe/6806/calzone/?internalSource=hub%20recipe&referringContentType=Search
37,Fried Rice,Dinner,"Fried, Rice",https://www.allrecipes.com/recipe/195042/island-style-fried-rice/?internalSource=hub%20recipe&referringContentType=Search
38,Lo mein,Dinner,Pasta,https://www.allrecipes.com/recipe/54923/vegetable-lo-mein-delight/?internalSource=hub%20recipe&referringContentType=Search
39,French Fries,Snack,"Fried, Other",https://www.allrecipes.com/recipe/219634/chef-johns-french-fries/?internalSource=hub%20recipe&referringContentType=Search
40,Shrimp(8 oz),Dinner,Seafood,https://www.allrecipes.com/recipe/19484/grilled-marinated-shrimp/?internalSource=hub%20recipe&referringContentType=Search
41,Rice,"Lunch, Dinner",Other,https://www.allrecipes.com/recipe/228044/classic-rice-pilaf/?internalSource=hub%20recipe&referringContentType=Search
42,Potato Salad,"Lunch, Dinner",Salad,https://www.allrecipes.com/recipe/232864/potato-salad/?internalSource=hub%20recipe&referringContentType=Search
43,Steak(6 oz),Dinner,Beef,https://www.allrecipes.com/recipe/238506/marsala-marinated-skirt-steak/?internalSource=hub%20recipe&referringContentType=Search
44,Mash Potatoes,Dinner,Other,https://www.allrecipes.com/recipe/219077/chef-johns-perfect-mashed-potatoes/?internalSource=hub%20recipe&referringContentType=Search
45,Fried Chicken,"Lunch, Dinner","Fried, Chicken",https://www.allrecipes.com/recipe/8836/fried-chicken/?internalSource=hub%20recipe&referringContentType=Search
46,Tomato Salad,"Lunch, Dinner",Salad,https://www.allrecipes.com/recipe/14180/cherry-tomato-salad/?internalSource=hub%20recipe&referringContentType=Search
47,Salad,"Lunch, Dinner",Salad,https://www.allrecipes.com/recipe/34613/roquefort-pear-salad/?internalSource=hub%20recipe&referringContentType=Search
